,MONTH,STATE,GENERATION
460766,1,AK,516962.0
460801,1,AL,12437071.0
460835,1,AR,5219341.0
460875,1,AZ,8689647.0
460911,1,CA,13501478.0
460974,1,CO,4848930.0
461021,1,CT,3652864.0
461062,1,DC,18510.0
461073,1,DE,113398.0
461102,1,FL,18106650.0
461148,1,GA,10419599.0
461194,1,HI,757304.0
461234,1,IA,5518491.0
461277,1,ID,1596907.0
461315,1,IL,16076958.0
461365,1,IN,8955451.0
461411,1,KS,4709056.0
461438,1,KY,6389250.0
461464,1,LA,7872511.0
461501,1,MA,2030333.0
461547,1,MD,3254950.0
461589,1,ME,953826.0
461631,1,MI,10493566.0
461689,1,MN,4887674.0
461739,1,MO,6849268.0
461784,1,MS,6841518.0
461812,1,MT,2563159.0
461847,1,NC,11797316.0
461899,1,ND,3862790.0
461926,1,NE,3145812.0
461959,1,NH,1503504.0
461994,1,NJ,4595077.0
462040,1,NM,3138140.0
462074,1,NV,3038470.0
462112,1,NY,10862125.0
462167,1,OH,10970553.0
462221,1,OK,7003517.0
462258,1,OR,5882514.0
462299,1,PA,22387325.0
462352,1,RI,579371.0
462377,1,SC,8991672.0
462424,1,SD,1500566.0
462452,1,TN,7261576.0
462495,1,TX,38597145.0
462546,1,US-TOTAL,350795813.0
462620,1,UT,3168109.0
462658,1,VA,8088326.0
462709,1,VT,170682.0
462738,1,WA,10851891.0
462782,1,WI,5875403.0
462832,1,WV,6402024.0
462859,1,WY,3847233.0
462887,2,AK,484039.0
462922,2,AL,11205731.0
462956,2,AR,4482798.0
462996,2,AZ,6918909.0
463032,2,CA,12302875.0
463095,2,CO,4568777.0
463142,2,CT,3507148.0
463183,2,DC,16804.0
463194,2,DE,222933.0
463223,2,FL,17286916.0
463269,2,GA,9952129.0
463315,2,HI,656459.0
463355,2,IA,5101557.0
463398,2,ID,1462670.0
463436,2,IL,14948150.0
463486,2,IN,9689686.0
463532,2,KS,4271902.0
463559,2,KY,6422650.0
463585,2,LA,7399319.0
463622,2,MA,1822513.0
463668,2,MD,3378154.0
463710,2,ME,919161.0
463752,2,MI,10149998.0
463810,2,MN,5273602.0
463860,2,MO,6615039.0
463905,2,MS,5611210.0
463933,2,MT,2067389.0
463968,2,NC,10767667.0
464020,2,ND,3556004.0
464047,2,NE,2999369.0
464080,2,NH,1544516.0
464115,2,NJ,4545201.0
464161,2,NM,2389570.0
464195,2,NV,2718189.0
464233,2,NY,9637406.0
464288,2,OH,10270243.0
464342,2,OK,6052609.0
464379,2,OR,5507195.0
464420,2,PA,21054904.0
464473,2,RI,505337.0
464498,2,SC,8356799.0
464545,2,SD,1406186.0
464573,2,TN,7262652.0
464616,2,TX,34553779.0
464667,2,US-TOTAL,326223389.0
464741,2,UT,3256626.0
464779,2,VA,7817139.0
464830,2,VT,163548.0
464859,2,WA,9398978.0
464903,2,WI,5605711.0
464953,2,WV,6656971.0
464980,2,WY,3458272.0
465008,3,AK,455932.0
465043,3,AL,10460787.0
465077,3,AR,4561694.0
465117,3,AZ,7981800.0
465153,3,CA,14286088.0
465216,3,CO,4669512.0
465263,3,CT,3738943.0
465304,3,DC,18290.0
465315,3,DE,226092.0
465344,3,FL,18383911.0
465390,3,GA,8636468.0
465436,3,HI,736485.0
465476,3,IA,5389102.0
465519,3,ID,1404034.0
465557,3,IL,13382765.0
465607,3,IN,6942999.0
465653,3,KS,4965709.0
465680,3,KY,5131243.0
465706,3,LA,6717683.0
465743,3,MA,1349996.0
465789,3,MD,2805982.0
465831,3,ME,976106.0
465873,3,MI,9505376.0
465931,3,MN,4442237.0
465981,3,MO,5385210.0
466026,3,MS,4584314.0
466054,3,MT,2153830.0
466089,3,NC,9661793.0
466141,3,ND,3699351.0
466168,3,NE,2581582.0
466201,3,NH,1367643.0
466236,3,NJ,4513833.0
466282,3,NM,2667023.0
466316,3,NV,3046214.0
466354,3,NY,9977465.0
466409,3,OH,10088727.0
466463,3,OK,6351376.0
466500,3,OR,5382854.0
466541,3,PA,19311763.0
466594,3,RI,601653.0
466619,3,SC,7791199.0
466666,3,SD,1494803.0
466694,3,TN,6890246.0
466737,3,TX,33939509.0
466788,3,US-TOTAL,312284621.0
466862,3,UT,3140412.0
466900,3,VA,7925981.0
466951,3,VT,228195.0
466980,3,WA,8795660.0
