,MONTH,STATE,GENERATION
461315,1,IL,16076958.0
461365,1,IN,8955451.0
461631,1,MI,10493566.0
462167,1,OH,10970553.0
462782,1,WI,5875403.0
463436,2,IL,14948150.0
463486,2,IN,9689686.0
463752,2,MI,10149998.0
464288,2,OH,10270243.0
464903,2,WI,5605711.0
465557,3,IL,13382765.0
465607,3,IN,6942999.0
465873,3,MI,9505376.0
466409,3,OH,10088727.0
467024,3,WI,5384496.0
467678,4,IL,13213966.0
467728,4,IN,6260578.0
467994,4,MI,8005531.0
468530,4,OH,8148727.0
469145,4,WI,4873008.0
469799,5,IL,14946614.0
469849,5,IN,6954828.0
470115,5,MI,7680195.0
470649,5,OH,8505274.0
471263,5,WI,5103977.0
471916,6,IL,15858483.0
471966,6,IN,8713097.0
472232,6,MI,10027019.0
472767,6,OH,10077657.0
473381,6,WI,6154105.0
474035,7,IL,16763648.0
474085,7,IN,9542500.0
474351,7,MI,10404737.0
474886,7,OH,11850938.0
475500,7,WI,6818142.0
476154,8,IL,17421598.0
476204,8,IN,10146851.0
476470,8,MI,10995383.0
477005,8,OH,12035353.0
477619,8,WI,6853120.0
478273,9,IL,14611662.0
478323,9,IN,7625956.0
478589,9,MI,9307213.0
479121,9,OH,10372760.0
479735,9,WI,5195282.0
480389,10,IL,13568903.0
480439,10,IN,6589878.0
480705,10,MI,9744104.0
481237,10,OH,10527013.0
481853,10,WI,4561753.0
482506,11,IL,14946236.0
482556,11,IN,5871719.0
482821,11,MI,9964655.0
483353,11,OH,10180765.0
483968,11,WI,4314389.0
484621,12,IL,16120385.0
484671,12,IN,7271621.0
484936,12,MI,9767606.0
485468,12,OH,10307597.0
486084,12,WI,4739287.0
