,Date,NDX_price,AAPL_price,GOOGL_price,META_price,AMZN_price
0,09/23/2022,"11,311.24",150.43,98.74,140.41,113.78
1,09/22/2022,"11,501.65",152.74,100.14,142.82,117.31
2,09/21/2022,"11,637.79",153.72,99.28,142.12,118.54
3,09/20/2022,"11,851.54",156.9,101.14,146.09,122.19
4,09/19/2022,"11,953.28",154.48,103.07,148.02,124.66
5,09/16/2022,"11,861.38",150.7,102.8,146.29,123.58
6,09/15/2022,"11,927.49",152.37,102.91,149.55,126.28
7,09/14/2022,"12,134.40",155.43,105.0,151.47,128.63
8,09/13/2022,"12,033.62",153.84,104.32,153.13,126.82
9,09/12/2022,"12,739.72",163.43,110.86,168.96,136.45
10,09/09/2022,"12,588.29",157.37,110.65,169.15,133.27
11,09/08/2022,"12,321.19",154.45,108.38,162.06,129.82
12,09/07/2022,"12,259.39",155.96,109.45,160.39,129.48
13,09/06/2022,"12,011.31",154.53,106.81,158.54,126.11
14,09/02/2022,"12,098.44",155.81,107.85,160.32,127.51
15,09/01/2022,"12,274.63",157.96,109.74,165.36,127.82
16,08/31/2022,"12,272.03",157.22,108.22,162.93,126.77
17,08/30/2022,"12,342.70",158.91,108.94,157.16,128.73
18,08/29/2022,"12,484.32",161.38,109.42,159.17,129.79
19,08/26/2022,"12,605.17",163.62,110.34,161.78,130.75
20,08/25/2022,"13,143.58",170.03,116.65,168.78,137.28
21,08/24/2022,"12,917.86",167.53,113.69,163.26,133.8
22,08/23/2022,"12,881.79",167.23,113.86,161.11,133.62
23,08/22/2022,"12,890.54",167.57,114.24,163.05,133.22
24,08/19/2022,"13,242.90",171.52,117.21,167.96,138.23
25,08/18/2022,"13,505.99",174.15,120.17,174.66,142.3
26,08/17/2022,"13,470.86",174.55,119.55,174.85,142.1
27,08/16/2022,"13,635.21",173.03,121.7,179.47,144.78
28,08/15/2022,"13,667.18",173.19,122.08,180.89,143.18
29,08/12/2022,"13,565.87",172.1,121.68,180.5,143.55
30,08/11/2022,"13,291.99",168.49,118.84,177.49,140.64
31,08/10/2022,"13,378.32",169.24,119.7,178.34,142.69
32,08/09/2022,"13,008.17",164.92,116.63,168.53,137.83
33,08/08/2022,"13,159.16",164.87,117.3,170.25,139.41
34,08/05/2022,"13,207.69",165.35,117.47,167.11,140.8
35,08/04/2022,"13,311.04",165.81,118.19,170.57,142.57
36,08/03/2022,"13,253.26",166.13,118.08,168.8,139.52
37,08/02/2022,"12,901.60",160.01,115.13,160.19,134.16
38,08/01/2022,"12,940.78",161.51,114.86,159.93,135.39
39,07/29/2022,"12,947.97",162.51,116.32,159.1,134.95
40,07/28/2022,"12,717.87",157.35,114.22,160.72,122.28
41,07/27/2022,"12,601.47",156.79,113.06,169.58,120.97
42,07/26/2022,"12,086.90",151.6,105.02,159.15,114.81
43,07/25/2022,"12,328.41",152.95,107.51,166.65,121.14
44,07/22/2022,"12,396.47",154.09,107.9,169.27,122.42
45,07/21/2022,"12,619.41",155.35,114.34,183.17,124.63
46,07/20/2022,"12,439.68",153.04,113.9,183.09,122.77
47,07/19/2022,"12,249.42",151.0,113.81,175.78,118.21
48,07/18/2022,"11,877.50",147.07,109.03,167.23,113.76
49,07/15/2022,"11,983.62",150.17,111.78,164.7,113.55
50,07/14/2022,"11,768.39",148.47,110.37,158.05,110.63
51,07/13/2022,"11,728.53",145.49,111.35,163.49,110.4
52,07/12/2022,"11,744.99",145.86,114.02,163.27,109.22
53,07/11/2022,"11,860.28",144.87,115.68,162.88,111.75
54,07/08/2022,"12,125.69",147.04,119.35,170.88,115.54
55,07/07/2022,"12,109.05",146.35,118.78,172.19,116.33
56,07/06/2022,"11,852.59",142.92,114.57,169.77,114.33
57,07/05/2022,"11,779.91",141.56,113.26,168.19,113.5
58,07/01/2022,"11,585.68",138.93,108.74,160.03,109.56
59,06/30/2022,"11,503.72",136.72,108.96,161.25,106.21
60,06/29/2022,"11,658.26",139.23,111.7,163.94,108.92
61,06/28/2022,"11,637.77",137.44,112.01,160.68,107.4
62,06/27/2022,"11,987.36",141.66,115.83,169.49,113.22
63,06/24/2022,"12,105.85",141.66,117.97,170.16,116.46
64,06/23/2022,"11,697.68",138.27,112.24,158.75,112.44
65,06/22/2022,"11,527.71",135.35,111.49,155.85,108.95
66,06/21/2022,"11,546.76",135.87,111.54,157.05,108.68
67,06/17/2022,"11,265.99",131.56,107.14,163.74,106.22
68,06/16/2022,"11,127.57",130.06,106.03,160.87,103.66
69,06/15/2022,"11,593.77",135.43,109.76,169.35,107.67
70,06/14/2022,"11,311.69",132.76,106.72,163.73,102.31
71,06/13/2022,"11,288.32",131.88,106.39,164.26,103.67
72,06/10/2022,"11,832.82",137.13,111.16,175.57,109.65
73,06/09/2022,"12,269.78",142.64,114.84,184.0,116.15
74,06/08/2022,"12,615.13",147.96,117.19,196.64,121.18
